ID;Data;Topico;Orador;Papel;Partido;Estado;Posicionamento;sit.op;Local;Texto
130971488;16/12/2014;13097;Henrique Eduardo Alves;Presidente;PMDB;Rio Grande do Norte;4,579;Situacao;Plenario;"""Como vota o Bloco
PP/PROS, Deputado Givaldo Carimbao? Mantem o texto ou vai mudar?"""
130971489;16/12/2014;13097;Givaldo Carimbao;Deputado;PROS;Alagoas;#N/D;Situacao;Plenario;"""Sr. Presidente, ha um estudo aqui da bancada, principalmente do PP, que
entende perfeitamente o discurso feito na tribuna pela Oposicao.
Acho que liberar um canal agricola e fundamental. Agora, nao pagar igual a
outras televisoes e desigual. Eu quero liberar a bancada em respeito a todos os
companheiros que estao aqui questionando e porque acho que faz sentido a tese de
alguns companheiros.
Portanto, eu vou liberar a bancada para que cada um possa votar com a sua
consciencia, Sr. Presidente."""
130971490;16/12/2014;13097;Onofre Santo Agostini;Deputado;PSD;Santa Catarina;6;Situacao;Plenario;"""Sr. Presidente, PSD lidera a bancada."""
130971491;16/12/2014;13097;Henrique Eduardo Alves;Presidente;PMDB;Rio Grande do Norte;4,579;Situacao;Plenario;"""Como vota o PSDB?"""
130971492;16/12/2014;13097;Vanderlei Macris;Deputado;PSDB;Sao Paulo;4,1;Oposicao;Plenario;"""Sr. Presidente, nos ja manifestamos, em nome do PSDB, a nossa nao
concordancia com mais de 43 importacoes feitas nessa medida provisoria. Essa e
uma delas e e uma excrescencia.
O Deputado Ronaldo Caiado, futuro Senador, ja se manifestou da tribuna
neste plenario e mostrou brilhantemente a direcao clara desse artigo.
Portanto, nessa medida provisoria, nao e possivel acabar criando dois canais
destinados a transmitir programacao de interesse do setor agropecuario, de graca,
sem qualquer tipo de contribuicao, Sr. Presidente. Isso e um absurdo.
Entao, a posicao do PSDB e “nao” a essa proposta."""
130971493;16/12/2014;13097;Henrique Eduardo Alves;Presidente;PMDB;Rio Grande do Norte;4,579;Situacao;Plenario;"""Como vota o PSB?"""
130971494;16/12/2014;13097;Beto Albuquerque;Deputado;PSB;Rio Grande do Sul;3,429;Situacao;Plenario;"""Sr. Presidente, nos votamos “nao”. Achamos que esse assunto merece
uma atencao importante, merece o tratamento de utilidade publica, aquele que e de
fato e nao aquele que parece ser e nao e.
Por isso nos votamos “nao”."""
130971495;16/12/2014;13097;Henrique Eduardo Alves;Presidente;PMDB;Rio Grande do Norte;4,579;Situacao;Plenario;"""Como vota o Solidariedade?"""
130971496;16/12/2014;13097;Laercio Oliveira;Deputado;Solidaried;Sergipe;#N/D;Oposicao;Plenario;"""O
Solidariedade vota “nao”, Sr. Presidente."""
130971497;16/12/2014;13097;Henrique Eduardo Alves;Presidente;PMDB;Rio Grande do Norte;4,579;Situacao;Plenario;"""Como vota o PDT?"""
130971498;16/12/2014;13097;Andre Figueiredo;Deputado;PDT;Ceara;4,5;Situacao;Plenario;"""O PDT vota “nao”, Sr. Presidente."""
130971499;16/12/2014;13097;Henrique Eduardo Alves;Presidente;PMDB;Rio Grande do Norte;4,579;Situacao;Plenario;"""Como vota o PTB? (Pausa.)
Como vota o PCdoB?"""
130971500;16/12/2014;13097;Gustavo Petta;Deputado;PCdoB;Sao Paulo;1,429;Situacao;Plenario;"""O PCdoB vota “sim”, Sr. Presidente."""
130971501;16/12/2014;13097;Henrique Eduardo Alves;Presidente;PMDB;Rio Grande do Norte;4,579;Situacao;Plenario;"""Como vota o PSC?"""
130971502;16/12/2014;13097;Filipe Pereira;Deputado;PSC;Rio de Janeiro;6;Oposicao;Plenario;"""O
PSC vota “sim”, Sr. Presidente."""
130971503;16/12/2014;13097;Henrique Eduardo Alves;Presidente;PMDB;Rio Grande do Norte;4,579;Situacao;Plenario;"""Como vota o PRB?"""
130971504;16/12/2014;13097;Otoniel Lima;Deputado;PRB;Sao Paulo;5,333;Situacao;Plenario;"""Sr.
Presidente, o PRB encaminha “nao”."""
130971505;16/12/2014;13097;Henrique Eduardo Alves;Presidente;PMDB;Rio Grande do Norte;4,579;Situacao;Plenario;"""Como vota o PV?"""
130971506;16/12/2014;13097;Eurico Junior;Deputado;PV;Rio de Janeiro;6,5;Situacao;Plenario;"""Sr.
Presidente, o PV vai solicitar tambem dois canais para poder divulgar todas as
questoes de meio ambiente. O PV vota “nao”."""
130971507;16/12/2014;13097;Henrique Eduardo Alves;Presidente;PMDB;Rio Grande do Norte;4,579;Situacao;Plenario;"""Se vota “nao”, nao vai
solicitar dois canais."""
130971508;16/12/2014;13097;Eurico Junior;Deputado;PV;Rio de Janeiro;6,5;Situacao;Plenario;"""Para ver. Se o ruralista pode, o ambientalista
tambem pode."""
130971509;16/12/2014;13097;Henrique Eduardo Alves;Presidente;PMDB;Rio Grande do Norte;4,579;Situacao;Plenario;"""Entao, vota ”sim”?"""
130971510;16/12/2014;13097;Esperidiao Amin;Deputado;PP;Santa Catarina;6;Situacao;Plenario;"""Nao. Ele quer os dele, Sr. Presidente. Ele quer
os canais para ele. Ele quer mais dois para ele."""
130971511;16/12/2014;13097;Henrique Eduardo Alves;Presidente;PMDB;Rio Grande do Norte;4,579;Situacao;Plenario;"""Como vota o PTB?"""
130971512;16/12/2014;13097;Eros Biondini;Deputado;PTB;Minas Gerais;4;Oposicao;Plenario;"""Sr.
Presidente, o PTB libera a bancada."""
130971513;16/12/2014;13097;Henrique Eduardo Alves;Presidente;PMDB;Rio Grande do Norte;4,579;Situacao;Plenario;"""Como vota o PPS?"""
130971514;16/12/2014;13097;Sandro AleHenrique Fontana;Deputado;#N/D;#N/D;#N/D;#N/D;Plenario;"""Sr.
Presidente, o PPS vai encaminhar o voto “nao”. E acreditamos que colocar em
votacao uma materia como esta inclusive na ultima semana e ate um
constrangimento a este Parlamento. Ceder canais, seja para qual programacao for,
e realmente inaceitavel.
Nos vamos encaminhar, portanto, o voto “nao”. Nao concordamos com esta
decisao de dar canais, seja hoje no conteudo de programacao rural, seja nas
proximas votacoes. Quais serao as programacoes? Entao, desde ja e “nao”."""
130971515;16/12/2014;13097;Henrique Eduardo Alves;Presidente;PMDB;Rio Grande do Norte;4,579;Situacao;Plenario;"""Pois nao."""
130971516;16/12/2014;13097;Silvio Costa;Deputado;PSC;Pernambuco;6;Oposicao;Plenario;"""Sr.
Presidente, eu e o Deputado Filipe Pereira conversamos e achamos que e o maior
absurdo aprovar essa materia!
Todo mundo paga para pertencer a SKY e a NET. E agora vai ser criada a
obrigatoriedade do canal do boi! Esse canal e gratuito! Em nome de que boi? Canal
Rural? Por que? Entao, vamos botar canal de graca para todas as igrejas, canal de
graca para o meio ambiente, canal de graca para todo mundo! Isso esta errado!
Nao pode colocar um jabuti deste tamanho numa medida provisoria que trata
de desoneracao! Isso e um absurdo! Nos nao podemos aprovar essa indecencia! Eu
ja vi jabuti indecente nesta Casa, mas esse foi um dos mais indecentes que eu ja vi!
O PSC muda o voto para ""nao""!"""
130971517;16/12/2014;13097;Laercio Oliveira;Deputado;Solidaried;Sergipe;#N/D;Oposicao;Plenario;"""Sr. Presidente, o Solidariedade vai liberar a bancada."""
130971518;16/12/2014;13097;Jorge Bittar;Deputado;PT;Rio de Janeiro;2,615;Situacao;Plenario;"""Sr. Presidente, pelo PT."""
130971519;16/12/2014;13097;Henrique Eduardo Alves;Presidente;PMDB;Rio Grande do Norte;4,579;Situacao;Plenario;"""Pelo PT, tem a palavra o
Deputado Jorge Bittar."""
130971520;16/12/2014;13097;Jorge Bittar;Deputado;PT;Rio de Janeiro;2,615;Situacao;Plenario;"""Sr.
Presidente, por acaso, ate, eu fui Relator do PL 29, que resultou na Lei n 12.485,
que esse artigo pretende alterar.
Esse dispositivo trata dos canais de carregamento obrigatorio pelas
distribuidoras de TV paga no Pais, e ali estao contidos os canais de utilidade publica
e os canais concedidos pelo poder publico, como as grandes redes de televisao.
Nao faz nenhum sentido que se possa criar a obrigatoriedade de carregamento de
um canal que nao e uma concessao publica, porque isso abre um precedente a
partir do qual todos poderao pleitear essa mesma condicao.
Por conta disso, nos alteramos a posicao do PT para ""nao""."""
130971521;16/12/2014;13097;Laercio Oliveira;Deputado;Solidaried;Sergipe;#N/D;Oposicao;Plenario;"""Presidente, o Solidariedade quer liberar a
bancada."""
130971522;16/12/2014;13097;Henrique Eduardo Alves;Presidente;PMDB;Rio Grande do Norte;4,579;Situacao;Plenario;"""O PT passou para o voto
“nao”."""
130971523;16/12/2014;13097;Laercio Oliveira;Deputado;Solidaried;Sergipe;#N/D;Oposicao;Plenario;"""O Solidariedade libera a bancada, Sr.
Presidente."""
130971524;16/12/2014;13097;Henrique Eduardo Alves;Presidente;PMDB;Rio Grande do Norte;4,579;Situacao;Plenario;"""O Solidariedade libera a
bancada.
Como vota o PSOL? “Sim” ou “nao”?"""
130971525;16/12/2014;13097;Ivan Valente;Deputado;PSOL;Sao Paulo;2;Oposicao;Plenario;"""Sr.
Presidente, eu acho que aqui tem um boi voador, como dizia Chico Buarque, porque
nao e possivel que, no meio de uma medida provisoria de isencoes fiscais tao ampla, coloquem ate canais de TV, insercao nas distribuidoras, na NET, na SKY.
Existe algum pagamento aqui atras. Eu acho que isso aqui e pagamento para a
Friboi e outras coisas mais.
Nao e possivel que nos consigamos novamente votar medidas provisorias
que nao tem urgencia nem relevancia e que, sem duvida, nao se atem ao objetivo de
medida provisoria, com essa amplitude vergonhosa. Nao e possivel! Por isso, como
tem muito ruralismo ai atras, votamos “nao”."""
130971526;16/12/2014;13097;Onofre Santo Agostini;Deputado;PSD;Santa Catarina;6;Situacao;Plenario;"""Sr. Presidente, o PSD muda o voto para “nao”."""
130971527;16/12/2014;13097;Henrique Eduardo Alves;Presidente;PMDB;Rio Grande do Norte;4,579;Situacao;Plenario;"""O PSD muda para voto
“nao”."""
130971528;16/12/2014;13097;Givaldo Carimbao;Deputado;PROS;Alagoas;#N/D;Situacao;Plenario;"""Sr. Presidente, mais de 500 folhas — a medida provisoria esta aqui — e
um codigo e vamos le-lo minuciosamente.
Eu ja vi, por exemplo, Sr. Presidente, numa licitacao, numa concorrencia, no
Ministerio das Comunicacoes, um canal de televisao sair por 40, 50 milhoes de
reais. Eu ja vi radio FM de 1 quilowatt, com 50, 80 quilometros de raio, sair por 15
milhoes de reais.
As conversas de bastidores aqui arrepiam ate o cabelo do relogio, do celular
em que todos estao vendo a hora. Sr. Presidente, segundo as conversas que correm
por aqui, este grupo que esta sendo beneficiado financiou grupo de pessoas em
campanhas eleitorais. Eu acho que esta Casa, a qual representa o sentimento da
populacao, ajudar financeiramente alguma instituicao ou alguem e normal. Agora, esta muito claro que a grande maioria do PROS e do PP esta disposta
a votar “nao”."""
130971529;16/12/2014;13097;Eros Biondini;Deputado;PTB;Minas Gerais;4;Oposicao;Plenario;"""Sr.
Presidente, o PTB muda o voto para “nao”."""
130971530;16/12/2014;13097;Daniel Almeida;Deputado;PCdoB;Bahia;1,429;Situacao;Plenario;"""Sr. Presidente, o PCdoB rediscutiu e altera o voto para “nao”."""
130971531;16/12/2014;13097;Mauricio Quintella Lessa;Deputado;PR;Alagoas;4,5;Situacao;Plenario;"""O PR tambem orienta o voto “nao”, Sr. Presidente."""
130971532;16/12/2014;13097;Henrique Eduardo Alves;Presidente;PMDB;Rio Grande do Norte;4,579;Situacao;Plenario;"""Vamos passar ao processo
de votacao."""
130971533;16/12/2014;13097;Francisco Tenorio;Deputado;PMN;Alagoas;5;Oposicao;Plenario;"""Sr. Presidente, o PMN orienta o voto “nao”."""
130971534;16/12/2014;13097;Henrique Eduardo Alves;Presidente;PMDB;Rio Grande do Norte;4,579;Situacao;Plenario;"""“Nao”.
Mas diante da posicao espelhada no painel, eu tenho..."""
130971535;16/12/2014;13097;Silvio Costa;Deputado;PSC;Pernambuco;6;Oposicao;Plenario;"""Eu
queria fazer um apelo para o Deputado Eduardo Cunha, que e candidato a
Presidente e esta indo bem: que o PMDB mude o voto para “nao”."""
130971536;16/12/2014;13097;Eduardo Cunha;Deputado;PMDB;Rio de Janeiro;4,579;Situacao;Plenario;"""Sr. Presidente, eu apenas estou mantendo a orientacao do Relator, que e do PMDB
do Senado. Nao ha nenhum problema da minha parte."""
130971537;16/12/2014;13097;Silvio Costa;Deputado;PSC;Pernambuco;6;Oposicao;Plenario;"""Sim, mas converse com o Relator."""
130971538;16/12/2014;13097;Esperidiao Amin;Deputado;PP;Santa Catarina;6;Situacao;Plenario;"""Coragem, Eduardo Cunha!"""
130971539;16/12/2014;13097;Eduardo Cunha;Deputado;PMDB;Rio de Janeiro;4,579;Situacao;Plenario;"""A maioria se manifesta. Nao ha nenhum
problema."""
130971540;16/12/2014;13097;Jairo Ataide;Deputado;DEM;Minas Gerais;6,375;Oposicao;Plenario;"""Sr.
Presidente, na votacao anterior, Deputado Jairo Ataide acompanhou o partido."""
130971541;16/12/2014;13097;Esperidiao Amin;Deputado;PP;Santa Catarina;6;Situacao;Plenario;"""Deputado Eduardo Cunha, coragem! Vote “nao”."""
130971542;16/12/2014;13097;Vanderlei Macris;Deputado;PSDB;Sao Paulo;4,1;Oposicao;Plenario;"""Sr. Presidente, quero fazer um apelo para o Deputado Eduardo Cunha. e
so para tirar o “sim” e votar “nao”."""
130971543;16/12/2014;13097;Eduardo Cunha;Deputado;PMDB;Rio de Janeiro;4,579;Situacao;Plenario;"""Nao precisa fazer apelo."""
130971544;16/12/2014;13097;Henrique Eduardo Alves;Presidente;PMDB;Rio Grande do Norte;4,579;Situacao;Plenario;"""Independentemente do
apoio ou nao, pelo espelhado no painel, esta claro que nao precisara nem de
requerimento de votacao nominal. e obvio que as Liderancas ja manifestaram o voto
“nao”.
Entao, por forca das circunstancias, vamos colocar em votacao, mas ja com o
resultado pelo painel conhecido e meu papel respeitado.
Deputado Caiado, basta um braco; nao precisa dois. Eu entendo o seu fervor,
mas levante um braco."""
130971545;16/12/2014;13097;Esperidiao Amin;Deputado;PP;Santa Catarina;6;Situacao;Plenario;"""O Silvio Costa vai conseguir derrotar o Eduardo Cunha."""
130971546;16/12/2014;13097;Givaldo Carimbao;Deputado;PROS;Alagoas;#N/D;Situacao;Plenario;"""Sr. Presidente, liberamos a bancada do PP e do PROS, entao."""
130971547;16/12/2014;13097;Henrique Eduardo Alves;Presidente;PMDB;Rio Grande do Norte;4,579;Situacao;Plenario;"""Em votacao o artigo."""
130971548;16/12/2014;13097;Henrique Eduardo Alves;Presidente;PMDB;Rio Grande do Norte;4,579;Situacao;Plenario;"""Os Srs. Deputados que
forem pela aprovacao do artigo permanecam como se encontram. (Pausa.)
REJEITADO."""
130971549;16/12/2014;13097;Henrique Eduardo Alves;Presidente;PMDB;Rio Grande do Norte;4,579;Situacao;Plenario;"""Eu solicito que nao pecam
verificacao nominal, para nao perdemos tempo na votacao de hoje, diante de uma
votacao tao macica quanto essa."""
130971550;16/12/2014;13097;Esperidiao Amin;Deputado;PP;Santa Catarina;6;Situacao;Plenario;"""Nos vamos pedir. Nos queremos ganhar uma."""
130971551;16/12/2014;13097;Vanderlei Macris;Deputado;PSDB;Sao Paulo;4,1;Oposicao;Plenario;"""Sr. Presidente, tenho apenas uma questao"""
130971552;16/12/2014;13097;Henrique Eduardo Alves;Presidente;PMDB;Rio Grande do Norte;4,579;Situacao;Plenario;"""Vamos la. Destaque de
bancada.
Pois nao."""
130971553;16/12/2014;13097;Vanderlei Macris;Deputado;PSDB;Sao Paulo;4,1;Oposicao;Plenario;"""A questao e so para saber o seguinte: parece que ha sessao do
Congresso convocada a partir de agora."""
130971554;16/12/2014;13097;Henrique Eduardo Alves;Presidente;PMDB;Rio Grande do Norte;4,579;Situacao;Plenario;"""Agora, agora."""
130971555;16/12/2014;13097;Domingos Savio;Deputado;PSDB;Minas Gerais;4,1;Oposicao;Plenario;"""Se eu nao me engano, pelas informacoes que
tivemos, ha dois vetos que vao trancar a pauta. Queria so saber se e real isso ou
nao."""
130971556;16/12/2014;13097;Henrique Eduardo Alves;Presidente;PMDB;Rio Grande do Norte;4,579;Situacao;Plenario;"""Estou mantendo contato
com o Senador Renan..."""
130971557;16/12/2014;13097;Domingos Savio;Deputado;PSDB;Minas Gerais;4,1;Oposicao;Plenario;"""Sr. Presidente, vamos concluir, porque nos tambem temos esse entendimento, mas
isso vai ser na abertura da sessao, se e que ela vai ser aberta, porque eu acredito
que e melhor construirmos um acordo para faze-la no momento oportuno, inclusive
com a analise dos vetos, quem sabe por consenso, mas num momento oportuno e
nao agora."""
130971558;16/12/2014;13097;Henrique Eduardo Alves;Presidente;PMDB;Rio Grande do Norte;4,579;Situacao;Plenario;"""Destaque de bancada do
Democratas. Mendonca Filho, Emenda n 230, apresentada a Medida Provisoria n
656."""
130971559;16/12/2014;13097;Jaqueline Roriz;Deputado;PMN;Distrito Federal;5;Oposicao;Plenario;"""Sr. Presidente, a Deputada Jaqueline Roriz votou com o partido nas votacoes
anteriores."""
130971560;16/12/2014;13097;Henrique Eduardo Alves;Presidente;PMDB;Rio Grande do Norte;4,579;Situacao;Plenario;"""Deputado Efraim Filho ou
Deputado Mendonca Filho."""
130971561;16/12/2014;13097;Mendonca Filho;Deputado;DEM;Pernambuco;6,375;Oposicao;Plenario;"""Eu vou falar a favor."""
130971562;16/12/2014;13097;Henrique Eduardo Alves;Presidente;PMDB;Rio Grande do Norte;4,579;Situacao;Plenario;"""O Deputado Mendonca
Filho falara a favor, enquanto eu falo com o Senador Renan Calheiros."""
